Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1132878    0.262    0.000    0.262    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:2624(_amin_dispatcher)
  1132839    0.262    0.000    0.262    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:2273(_all_dispatcher)
       40    0.001    0.000    0.259    0.006 C:/Users/shahar/Research/RC_SET/dots_array.py:840(saveState)
        9    0.000    0.000    0.256    0.028 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:3540(__init__)
        9    0.000    0.000    0.256    0.028 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:3484(__init__)
  1132811    0.239    0.000    0.239    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:2040(_sum_dispatcher)
      223    0.000    0.000    0.230    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      3/1    0.000    0.000    0.229    0.229 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.229    0.229 {built-in method builtins.__import__}
        1    0.000    0.000    0.229    0.229 <frozen importlib._bootstrap>:978(_find_and_load)
        1    0.000    0.000    0.229    0.229 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
        1    0.000    0.000    0.228    0.228 <frozen importlib._bootstrap>:663(_load_unlocked)
        1    0.000    0.000    0.228    0.228 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.228    0.228 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.228    0.228    0.228    0.228 {built-in method _imp.create_dynamic}
  1132810    0.227    0.000    0.227    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\shape_base.py:718(_array_split_dispatcher)
       29    0.001    0.000    0.179    0.006 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\text.py:852(get_window_extent)
        4    0.000    0.000    0.179    0.045 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1147(_get_tick_bboxes)
