Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.131    0.131 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:1887(wm_iconphoto)
       10    0.000    0.000    0.126    0.013 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:42(_wrapit)
      172    0.004    0.000    0.126    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\format.py:392(_write_array_header)
        1    0.000    0.000    0.126    0.126 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axes\_base.py:421(__init__)
        1    0.000    0.000    0.124    0.124 C:/Users/shahar/Research/RC_SET/dots_array.py:351(createCapacitanceMatrix)
       29    0.002    0.000    0.118    0.004 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:56(__init__)
      172    0.026    0.000    0.116    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\lib\format.py:512(_filter_header)
   390227    0.109    0.000    0.109    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.108    0.108 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axes\_base.py:960(cla)
        1    0.000    0.000    0.107    0.107 <__array_function__ internals>:2(unravel_index)
       45    0.107    0.002    0.107    0.002 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       96    0.000    0.000    0.101    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\transforms.py:1696(transform)
       98    0.001    0.000    0.101    0.001 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\transforms.py:1776(transform_affine)
       17    0.000    0.000    0.100    0.006 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\transforms.py:1025(get_points)
       14    0.000    0.000    0.100    0.007 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\transforms.py:413(bounds)
      103    0.100    0.001    0.100    0.001 {built-in method matplotlib._path.affine_transform}
        1    0.000    0.000    0.099    0.099 C:/Users/shahar/Research/RC_SET/dots_array.py:1297(saveRandomParams)
   387154    0.090    0.000    0.090    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:2040(_sum_dispatcher)
       15    0.000    0.000    0.088    0.006 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axis.py:1928(_get_tick)
   367154    0.087    0.000    0.087    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:1225(_searchsorted_dispatcher)
     4065    0.086    0.000    0.086    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.082    0.082 C:/Users/shahar/Research/RC_SET/dots_array.py:390(setDiagonalizedJ)
        2    0.000    0.000    0.082    0.041 <__array_function__ internals>:2(inv)
        2    0.082    0.041    0.082    0.041 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\linalg\linalg.py:486(inv)
   367156    0.082    0.000    0.082    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\fromnumeric.py:2354(_cumsum_dispatcher)
        8    0.000    0.000    0.081    0.010 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\ticker.py:2076(__call__)
        8    0.000    0.000    0.081    0.010 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\ticker.py:2080(tick_values)
        8    0.001    0.000    0.080    0.010 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\ticker.py:2016(_raw_ticks)
     1166    0.001    0.000    0.076    0.000 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\_asarray.py:16(asarray)
        1    0.000    0.000    0.076    0.076 C:\Users\shahar\AppData\Local\Programs\Python\Python37\lib\site-packages\matplotlib\axes\_axes.py:1433(plot)
